subj item timing focus dist resp
B16 43 spr foc dist 100
B16 41 spr unf dist 0
B16 52 spr unf close 0
B16 35 spr foc dist 100
B16 36 spr unf close 100
B16 47 spr foc dist 100
B16 42 spr foc close 100
B16 29 spr unf dist 0
B16 40 spr unf close 100
B16 44 spr unf close 0
B16 30 spr foc close 0
B16 51 spr foc dist 100
B16 46 spr foc close 0
B16 48 spr unf close 0
B16 45 spr unf dist 100
B16 50 spr foc close 100
B16 38 spr foc close 0
B16 49 spr unf dist 100
B17 45 spr unf dist 100
B17 29 spr unf dist 0
B17 27 spr foc dist 100
B17 44 spr unf close 100
B17 28 spr unf close 100
B17 34 spr foc close 100
B17 35 spr foc dist 100
B17 31 spr foc dist 100
B17 48 spr unf close 100
B17 32 spr unf close 100
B17 47 spr foc dist 100
B17 42 spr foc close 100
B17 49 spr unf dist 100
B17 50 spr foc close 100
B17 41 spr unf dist 100
B17 36 spr unf close 100
B17 43 spr foc dist 100
B17 25 spr unf dist 100
B17 51 spr foc dist 100
B17 30 spr foc close 100
B17 37 spr unf dist 100
B17 46 spr foc close 100
B17 38 spr foc close 100
B17 33 spr unf dist 100
B17 39 spr foc dist 100
B17 26 spr foc close 100
B17 52 spr unf close 100
B17 40 spr unf close 100
B18 40 spr unf close 100
B18 28 spr unf close 100
B18 44 spr unf close 100
B18 39 spr foc dist 100
B18 43 spr foc dist 100
B18 45 spr unf dist 0
B18 31 spr foc dist 0
B18 25 spr unf dist 100
B18 34 spr foc close 100
B18 26 spr foc close 100
B18 38 spr foc close 100
B18 41 spr unf dist 100
B18 50 spr foc close 100
B18 37 spr unf dist 100
B18 47 spr foc dist 100
B18 48 spr unf close 100
B18 36 spr unf close 100
B18 32 spr unf close 100
B18 46 spr foc close 100
B18 30 spr foc close 100
B18 52 spr unf close 100
B18 35 spr foc dist 100
B18 51 spr foc dist 100
B18 49 spr unf dist 100
B18 29 spr unf dist 100
B18 42 spr foc close 100
B18 33 spr unf dist 100
B18 27 spr foc dist 100
B19 27 spr foc dist 100
B19 31 spr foc dist 100
B19 41 spr unf dist 100
B19 33 spr unf dist 100
B19 45 spr unf dist 100
B19 28 spr unf close 100
B19 26 spr foc close 100
B19 49 spr unf dist 100
B19 52 spr unf close 100
B19 42 spr foc close 100
B19 32 spr unf close 100
B19 43 spr foc dist 100
B19 44 spr unf close 100
B19 36 spr unf close 100
B19 25 spr unf dist 100
B19 40 spr unf close 100
B19 50 spr foc close 100
B19 37 spr unf dist 100
B19 51 spr foc dist 100
B19 30 spr foc close 100
B19 35 spr foc dist 100
B19 48 spr unf close 100
B19 39 spr foc dist 100
B19 29 spr unf dist 100
B19 47 spr foc dist 100
B19 34 spr foc close 100
B19 46 spr foc close 100
B19 38 spr foc close 100
B20 27 spr foc dist 100
B20 29 spr unf dist 100
B20 38 spr foc close 100
B20 52 spr unf close 0
B20 36 spr unf close 100
B20 51 spr foc dist 100
B20 33 spr unf dist 100
B20 48 spr unf close 100
B20 31 spr foc dist 100
B20 44 spr unf close 100
B20 30 spr foc close 100
B20 42 spr foc close 100
B20 39 spr foc dist 100
B20 41 spr unf dist 100
B20 40 spr unf close 100
B20 26 spr foc close 0
B20 43 spr foc dist 100
B20 32 spr unf close 100
B20 37 spr unf dist 100
B20 47 spr foc dist 100
B20 45 spr unf dist 100
B20 28 spr unf close 100
B20 50 spr foc close 100
B20 49 spr unf dist 100
B20 46 spr foc close 100
B20 25 spr unf dist 100
B20 34 spr foc close 100
B20 35 spr foc dist 100
