subj item timing focus dist resp
A8 45 8sec foc dist 100
A8 39 8sec unf dist 100
A8 36 8sec foc close 100
A8 37 8sec foc dist 100
A8 41 8sec foc dist 100
A9 47 8sec unf dist 100
A9 45 8sec foc dist 0
A9 29 8sec foc dist 0
A9 42 8sec unf close 100
A9 25 8sec foc dist 100
A9 37 8sec foc dist 100
A9 51 8sec unf dist 100
A9 35 8sec unf dist 100
A9 41 8sec foc dist 100
A9 46 8sec unf close 0
A9 28 8sec foc close 100
A9 44 8sec foc close 100
A9 48 8sec foc close 0
A9 40 8sec foc close 100
A9 50 8sec unf close 100
A9 52 8sec foc close 100
A9 32 8sec foc close 100
A9 36 8sec foc close 0
A9 49 8sec foc dist 100
A9 33 8sec foc dist 100
A9 30 8sec unf close 100
A9 27 8sec unf dist 100
A9 34 8sec unf close 0
A9 38 8sec unf close 0
A9 39 8sec unf dist 100
A9 26 8sec unf close 0
A9 31 8sec unf dist 100
A9 43 8sec unf dist 100
A10 39 8sec unf dist 100
A10 26 8sec unf close 0
A10 42 8sec unf close 100
A10 25 8sec foc dist 100
A10 33 8sec foc dist 100
A10 43 8sec unf dist 100
A10 49 8sec foc dist 100
A10 51 8sec unf dist 100
A10 37 8sec foc dist 100
A10 44 8sec foc close 100
A10 36 8sec foc close 100
A10 45 8sec foc dist 100
A10 38 8sec unf close 100
A10 50 8sec unf close 100
A10 34 8sec unf close 100
A10 30 8sec unf close 100
A10 29 8sec foc dist 100
A10 35 8sec unf dist 100
A10 28 8sec foc close 100
A10 47 8sec unf dist 100
A10 41 8sec foc dist 0
A10 46 8sec unf close 100
A10 40 8sec foc close 100
A10 32 8sec foc close 100
A10 27 8sec unf dist 100
A10 52 8sec foc close 100
A10 48 8sec foc close 100
A10 31 8sec unf dist 100
A11 43 8sec foc close 100
A11 51 8sec foc close 100
A11 27 8sec foc close 100
A11 29 8sec unf close 100
A11 33 8sec unf close 100
A11 30 8sec unf dist 100
A11 46 8sec unf dist 100
A11 38 8sec unf dist 100
A11 42 8sec unf dist 100
A11 48 8sec foc dist 100
A11 36 8sec foc dist 100
A11 37 8sec unf close 100
A11 41 8sec unf close 100
A11 28 8sec foc dist 100
A11 26 8sec unf dist 100
A11 45 8sec unf close 100
A11 47 8sec foc close 100
A11 50 8sec unf dist 100
A11 35 8sec foc close 100
A11 32 8sec foc dist 100
A11 25 8sec unf close 100
A11 31 8sec foc close 100
A11 40 8sec foc dist 100
A11 39 8sec foc close 100
A11 49 8sec unf close 100
A11 44 8sec foc dist 100
A11 34 8sec unf dist 100
A11 52 8sec foc dist 100
A12 48 8sec foc dist 100
A12 31 8sec foc close 100
A12 40 8sec foc dist 100
A12 41 8sec unf close 100
A12 49 8sec unf close 100
A12 28 8sec foc dist 100
A12 52 8sec foc dist 100
A12 33 8sec unf close 100
A12 37 8sec unf close 100
A12 45 8sec unf close 0
A12 39 8sec foc close 100
A12 42 8sec unf dist 100
A12 50 8sec unf dist 100
A12 35 8sec foc close 100
A12 36 8sec foc dist 100
A12 25 8sec unf close 100
A12 27 8sec foc close 100
A12 47 8sec foc close 100
A12 51 8sec foc close 100
A12 32 8sec foc dist 100
A12 29 8sec unf close 100
A12 34 8sec unf dist 100
A12 46 8sec unf dist 0
A12 38 8sec unf dist 100
A12 44 8sec foc dist 100
A12 43 8sec foc close 100
A12 26 8sec unf dist 100
A12 30 8sec unf dist 100
A13 32 8sec foc dist 100
A13 31 8sec foc close 100
A13 50 8sec unf dist 100
A13 45 8sec unf close 100
A13 43 8sec foc close 100
A13 40 8sec foc dist 100
A13 44 8sec foc dist 100
A13 28 8sec foc dist 100
A13 42 8sec unf dist 100
A13 26 8sec unf dist 100
